customer_id,qtt_order,total_spent,last_order
0,41,321785.93,2022-08-04 01:00:00
1,126,185018.15,2022-09-17 11:00:00
2,3,357434.58,2022-04-01 14:00:00
3,74,2828.39,2022-02-15 18:00:00
4,243,76092.7,2022-01-27 04:00:00
5,25,58623.72,2022-02-11 12:00:00
6,32,251019.05,2022-01-29 23:00:00
7,94,192234.09,2022-08-18 23:00:00
8,26,36106.1,2022-02-21 06:00:00
9,138,552029.58,2022-02-26 23:00:00
10,88,132072.46,2022-05-30 13:00:00
11,14,165006.42,2022-09-27 11:00:00
12,393,122829.87,2022-06-13 17:00:00
13,14,299422.57,2022-03-23 17:00:00
14,168,149359.08,2022-05-14 18:00:00
15,11,29103.56,2022-05-15 17:00:00
16,7,177209.95,2022-04-06 11:00:00
17,192,418048.47,2022-08-29 03:00:00
18,100,161823.87,2022-08-30 10:00:00
19,22,7177.34,2022-09-22 18:00:00
20,21,102861.79,2022-03-21 04:00:00
21,113,112388.53,2022-04-05 23:00:00
22,17,126049.64,2022-05-03 15:00:00
23,55,62407.04,2022-04-14 02:00:00
24,37,99981.96,2022-03-16 21:00:00
25,259,256399.94,2022-01-27 08:00:00
26,3,50109.23,2022-01-09 13:00:00
27,9,254855.66,2022-04-16 05:00:00
28,4,11330.1,2022-02-08 18:00:00
29,143,113443.58,2022-07-29 21:00:00
30,390,1520418.08,2022-01-05 12:00:00
31,4,29542.66,2022-02-09 06:00:00
32,52,196404.69,2022-09-10 16:00:00
33,134,148619.26,2022-03-04 20:00:00
34,169,193242.37,2022-11-12 16:00:00
35,31,14972.07,2022-05-25 22:00:00
36,49,237427.63,2022-11-11 10:00:00
37,11,106459.99,2022-10-13 04:00:00
38,16,10452.15,2022-02-08 03:00:00
39,4,80781.3,2022-04-29 15:00:00
40,78,39848.32,2022-09-11 04:00:00
41,42,37570.07,2022-07-12 20:00:00
42,18,615895.45,2022-09-08 08:00:00
43,61,120537.0,2022-08-18 06:00:00
44,3,120154.26,2022-08-16 01:00:00
45,117,855803.04,2022-06-30 14:00:00
46,7,237272.0,2022-11-03 14:00:00
47,74,27609.84,2022-03-26 04:00:00
48,47,249544.67,2022-08-20 10:00:00
49,70,284379.33,2022-05-20 06:00:00
50,178,124005.86,2022-04-28 22:00:00
51,67,15476.13,2022-02-01 23:00:00
52,3,3876.7,2022-02-08 07:00:00
53,73,43539.63,2022-08-15 22:00:00
54,38,470218.92,2022-06-16 20:00:00
